0.757307 0.912418 0.88731 | 4.67954 9.59712 126.499 3.01685 0.778173 0.778173 1 | 1 | -68.7532 | 0.0446501 0.165652 0.144558 0.572335 0.024807 0.0104232 0.988352 0.994649 0.000303319 3.76557e-07 0.309608 
1.07721 0.997515 0.993989 | 3.78382 9.98857 125.08 3.37956 0.751503 0.751503 1 | 0 | NaN | NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
0.907976 0.288391 1.19384 | 4.25767 6.7266 122.422 4.05907 0.701539 0.701539 1 | 1 | -77.1842 | 0.00907936 0.463741 0.459189 0.633659 0.000802613 0.00573326 0.993302 0.998386 9.85787e-05 9.23793e-08 0.389204 
0.850864 0.966009 0.970891 | 4.41758 9.84364 125.387 3.30103 0.757277 0.757277 1 | 0 | NaN | NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
0.517233 1.18959 0.131892 | 5.35175 10.8721 136.546 0.448434 0.967027 0.967027 1 | 1 | -67.4787 | 0.055594 0.134223 0.113684 0.545875 0.0507372 0.0114153 0.982735 0.99359 0.00035948 4.65672e-07 0.298374 
1.14465 1.20709 0.624692 | 3.59499 10.9526 129.992 2.12395 0.843827 0.843827 1 | 0 | NaN | NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
0.59432 0.911106 0.864543 | 5.1359 9.59109 126.802 2.93945 0.783864 0.783864 1 | 1 | -68.8299 | 0.0440547 0.167692 0.144596 0.558399 0.0309508 0.0103716 0.985348 0.994707 0.00030023 3.71769e-07 0.310293 
0.706601 0.208034 0.952894 | 4.82152 6.35696 125.627 3.23984 0.761777 0.761777 1 | 1 | -79.3159 | 0.00589639 0.547384 0.54537 0.623977 0.000555931 0.00493154 0.988356 0.998809 7.41914e-05 6.47552e-08 0.410515 
1.6212 0.10009 0.451387 | 2.26064 5.86041 132.297 1.53471 0.887153 0.887153 1 | 1 | -82.9557 | 0.00277262 0.676917 0.676899 0.937698 0.000292567 0.00380262 0.999708 0.999291 4.56668e-05 3.53035e-08 0.447648 
1.22544 0.903788 0.922779 | 3.36877 9.55743 126.027 3.13745 0.769305 0.769305 1 | 0 | NaN | NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
0.564001 0.311877 1.11071 | 5.2208 6.83464 123.528 3.77641 0.722323 0.722323 1 | 1 | -76.9891 | 0.00944083 0.455971 0.447883 0.596014 0.00124104 0.00582008 0.986127 0.998341 0.000101175 9.54314e-08 0.387274 
1.24514 0.119358 0.621673 | 3.31362 5.94905 130.032 2.11369 0.844582 0.844582 1 | 1 | -81.9974 | 0.00338813 0.645053 0.644986 0.7731 0.000335524 0.00407106 0.99884 0.999188 5.18905e-05 4.14172e-08 0.437797 
1.18323 1.14544 0.170537 | 3.48696 10.669 136.032 0.579825 0.957366 0.957366 1 | 0 | NaN | NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
0.92048 0.671933 0.0295613 | 4.22266 8.49089 137.907 0.100508 0.99261 0.99261 1 | 1 | -74.2241 | 0.016265 0.346946 0.332322 0.604828 0.00259343 0.00707419 0.991603 0.99754 0.000146274 1.51297e-07 0.360316 
1.69893 0.698466 0.52835 | 2.04298 8.61294 131.273 1.79639 0.867912 0.867912 1 | 0 | NaN | NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
0.961704 0.855261 0.661406 | 4.10723 9.3342 129.503 2.24878 0.834648 0.834648 1 | 1 | -70.1017 | 0.035152 0.203789 0.184272 0.598969 0.00912084 0.00947158 0.99305 0.99558 0.000253415 3.00761e-07 0.321745 
1.33943 0.0474756 0.462581 | 3.04961 5.61839 132.148 1.57277 0.884355 0.884355 1 | 1 | -83.9313 | 0.00225811 0.707439 0.70743 0.827988 0.000254516 0.00354764 0.999249 0.999384 4.00969e-05 3.00056e-08 0.457719 
